student_id,gender,math_score,science_score,english_score,overall_score,final_grade
67,other,33.8,45.9,47.3,46.9,e
68,male,57.3,100.0,71.8,82.4,c
69,male,54.0,34.8,35.3,40.8,e
70,female,80.1,57.2,47.2,57.1,d
71,other,32.0,30.9,51.4,24.6,f
72,other,41.4,43.6,23.8,50.0,e
73,female,33.9,62.8,30.7,37.1,f
74,female,53.1,58.0,59.5,59.5,d
75,female,48.3,63.2,46.5,51.5,e
76,other,99.6,100.0,99.1,96.4,a
77,male,36.6,40.0,23.7,32.0,f
78,male,71.2,87.5,84.0,80.7,c
79,male,94.7,75.8,100.0,91.5,b
80,male,5.9,19.0,12.8,32.7,f
81,female,74.0,75.2,54.3,59.6,d
82,other,44.8,48.9,54.0,58.5,d
83,female,83.6,100.0,98.5,83.0,c
84,female,74.1,55.2,72.0,69.1,d
85,male,63.8,57.9,53.0,61.7,d
86,female,49.0,45.7,45.0,43.9,e
87,male,74.3,57.7,46.7,61.3,d
88,other,67.7,81.7,89.5,73.9,c
89,female,55.6,73.1,57.4,53.4,e
90,female,57.0,56.1,62.6,63.4,d
91,other,71.3,50.2,63.1,59.9,d
92,male,80.5,86.2,79.4,82.0,c
93,female,40.0,46.1,31.2,41.3,e
94,female,57.3,49.7,54.7,59.5,d
95,male,80.2,93.9,87.6,76.8,c
96,male,86.9,79.9,88.2,87.9,b
97,male,65.6,73.9,70.1,66.6,d
98,male,42.3,46.6,57.5,46.2,e
99,other,37.2,50.4,48.3,39.9,f
100,male,67.8,57.0,61.6,66.9,d
101,male,76.8,73.0,74.8,66.8,d
102,other,72.3,48.8,70.5,68.8,d
103,female,68.7,72.3,64.8,73.5,c
104,other,77.9,75.6,89.0,81.9,c
105,other,100.0,90.8,96.0,86.4,b
106,male,24.0,58.0,23.3,39.3,f
107,female,39.3,44.8,42.7,52.9,e
108,male,68.3,78.7,66.9,75.9,c
109,female,71.6,60.4,85.2,65.2,d
110,other,73.4,96.5,74.7,82.4,c
111,other,58.0,71.2,49.0,67.3,d
112,other,98.5,85.1,76.7,88.9,b
113,male,21.1,43.7,43.6,35.7,f
114,male,81.1,63.6,67.7,74.2,c
115,female,73.7,64.0,52.8,61.3,d
116,male,44.4,35.1,20.1,37.1,f
117,female,57.0,61.8,63.6,54.8,e
118,other,39.2,12.8,40.9,32.1,f
119,male,65.9,32.0,41.9,39.6,f
120,other,82.3,79.1,72.6,81.9,c
121,other,92.4,76.4,86.1,92.0,b
122,other,100.0,71.6,83.4,89.4,b
123,male,92.7,100.0,95.8,98.4,a
124,male,85.3,86.2,80.0,87.8,b
125,male,100.0,100.0,76.9,87.1,b
126,male,62.7,52.9,52.8,53.1,e
127,male,40.3,64.6,67.1,52.7,e
128,female,83.8,71.4,71.2,82.6,c
129,male,72.3,71.7,66.9,65.0,d
130,male,80.4,66.8,92.5,81.1,c
131,other,72.7,78.1,75.3,73.8,c
132,other,27.5,63.3,41.9,40.6,e
133,other,49.8,39.9,35.2,43.3,e
134,male,99.2,81.5,86.3,78.3,c
135,female,77.4,70.7,84.0,73.4,c
136,female,59.8,53.9,63.5,50.1,e
137,male,72.8,80.9,87.6,81.6,c
138,other,43.6,78.1,50.4,54.2,e
139,female,59.7,71.3,67.0,67.6,d
140,other,88.7,76.9,76.4,85.7,b
141,male,53.8,46.4,54.2,52.6,e
142,female,73.5,100.0,92.8,89.7,b
143,male,58.5,59.0,66.5,62.0,d
144,other,79.1,91.3,92.0,78.7,c
145,female,99.1,100.0,96.2,95.6,a
146,male,90.9,86.7,82.9,90.2,b
147,male,93.3,78.5,82.8,84.5,c
148,female,58.1,77.1,74.9,71.7,c
149,male,87.0,58.0,76.3,68.7,d
150,male,41.0,73.1,57.3,61.2,d
151,other,47.8,30.8,32.8,36.9,f
152,other,52.8,37.9,45.6,39.3,f
153,female,12.8,26.2,14.7,22.6,f
154,other,100.0,91.6,92.1,87.5,b
155,female,45.4,37.1,55.7,46.8,e
156,male,75.8,57.7,77.6,77.5,c
157,other,35.6,20.4,33.1,26.5,f
158,male,39.8,41.5,27.9,38.4,f
159,other,53.4,67.8,55.6,58.1,d
160,female,82.7,71.7,77.0,86.0,b
161,male,51.0,48.2,54.2,48.9,e
162,male,80.1,69.3,61.2,86.0,b
163,other,43.3,13.9,45.8,37.8,f
164,other,67.0,93.9,65.3,71.9,c
165,female,39.0,38.4,35.6,43.4,e
166,male,54.1,59.9,70.7,58.3,d
167,other,18.0,45.5,36.2,37.8,f
168,other,29.6,50.3,27.8,32.4,f
169,female,70.4,64.0,69.2,66.2,d
170,female,95.2,71.2,80.1,78.4,c
171,other,54.8,33.5,38.2,39.6,f
172,female,86.9,84.2,97.3,86.7,b
173,male,80.7,80.6,58.2,80.8,c
174,male,43.7,50.5,39.8,50.5,e
175,female,55.8,42.0,37.8,48.2,e
176,other,50.8,52.3,79.3,63.4,d
177,other,77.3,100.0,99.8,86.1,b
178,female,48.0,62.7,64.5,63.1,d
179,male,35.8,28.0,36.3,36.9,f
180,female,45.7,24.3,40.3,43.7,e
181,male,38.0,51.5,59.8,49.5,e
182,female,49.9,56.9,47.5,59.5,d
183,female,78.7,64.1,81.9,73.0,c
184,other,79.1,89.3,98.0,81.5,c
185,other,50.3,47.4,61.8,59.7,d
186,other,32.5,39.6,41.6,38.6,f
187,male,51.7,49.6,46.3,44.7,e
188,other,64.3,47.5,54.3,58.4,d
189,male,70.4,72.9,55.4,71.8,c
190,female,65.5,73.4,77.6,76.1,c
191,other,73.9,92.3,80.2,86.6,b
192,other,7.6,32.8,16.7,25.5,f
193,female,71.1,55.2,78.0,80.1,c
194,male,90.4,88.5,91.3,84.1,c
195,female,24.7,36.9,36.8,32.5,f
196,other,82.8,100.0,96.6,93.0,b
197,female,62.6,78.9,78.5,71.9,c
198,female,86.3,92.6,94.7,90.7,b
199,female,71.3,56.8,69.7,60.9,d
200,female,45.7,43.3,65.7,54.9,e
201,male,84.0,93.9,98.9,90.0,b
202,other,38.3,44.0,43.1,50.1,e
203,male,100.0,92.8,100.0,100.0,a
204,other,41.8,40.5,37.8,42.2,e
205,male,45.8,63.5,50.2,59.9,d
206,female,72.1,93.0,76.3,82.7,c
207,female,84.1,82.3,71.1,80.2,c
208,female,68.6,60.5,66.4,57.8,d
209,female,58.9,61.4,67.7,65.2,d
210,other,89.1,77.9,93.2,82.5,c
211,male,79.9,73.5,86.9,76.2,c
212,other,84.3,67.5,64.3,65.5,d
213,other,52.9,50.8,69.7,62.8,d
214,other,79.3,51.6,47.3,61.4,d
215,male,90.9,92.9,74.5,83.2,c
216,male,58.4,68.2,52.9,67.5,d
217,female,82.4,48.1,66.6,75.7,c
218,male,35.3,47.9,35.1,43.0,e
219,other,54.4,52.6,46.8,52.1,e
220,other,53.2,49.2,42.7,47.3,e
221,female,55.3,61.3,54.4,61.5,d
222,other,100.0,99.3,71.5,82.4,c
223,male,99.0,98.9,100.0,99.1,a
224,other,69.6,45.8,67.5,69.1,d
225,male,85.5,91.5,82.8,77.4,c
226,other,93.0,95.9,78.3,85.6,b
227,female,72.0,56.3,52.6,63.1,d
228,female,87.3,74.9,90.4,80.2,c
229,male,76.3,64.3,66.4,54.8,e
230,female,47.1,71.6,47.1,44.6,e
231,other,99.2,100.0,96.2,97.2,a
232,other,83.9,63.3,86.5,70.5,c
233,female,39.8,46.2,50.7,39.7,f
234,male,41.0,45.5,50.3,52.6,e
235,female,90.5,87.7,85.7,95.5,a
236,other,34.5,37.6,53.8,39.4,f
237,male,100.0,95.5,63.0,87.6,b
238,other,92.3,100.0,99.0,100.0,a
239,other,51.8,50.2,59.2,63.7,d
240,other,47.9,32.7,32.3,39.2,f
241,female,56.6,19.4,28.1,36.1,f
242,male,14.4,39.3,27.5,28.6,f
243,male,85.1,67.8,74.7,64.0,d
244,other,72.7,86.0,73.9,82.2,c
245,female,77.5,95.8,100.0,95.8,a
246,male,29.1,46.6,40.8,44.0,e
247,other,69.7,71.9,55.9,69.1,d
248,male,66.0,73.7,62.2,70.3,c
249,other,39.1,31.6,34.5,40.0,e
250,female,53.7,68.1,54.1,59.2,d
251,female,74.3,99.7,76.5,87.5,b
252,male,55.5,51.3,55.0,48.8,e
253,male,27.0,30.2,38.5,32.5,f
254,other,74.5,82.2,61.5,63.2,d
255,female,45.0,45.6,26.8,38.2,f
256,other,74.0,61.4,71.1,77.6,c
257,other,82.6,94.5,88.1,87.9,b
258,male,13.5,46.3,21.7,34.9,f
259,female,66.7,56.7,45.3,58.4,d
260,other,95.2,80.5,90.3,93.4,b
261,female,80.5,88.2,60.3,75.8,c
262,female,58.2,70.5,74.0,67.4,d
263,female,86.2,98.5,87.4,86.1,b
264,other,23.7,38.5,49.4,36.2,f
265,other,65.3,58.8,63.1,75.7,c
266,other,68.4,62.7,48.3,55.3,d
267,female,48.2,58.7,59.4,51.8,e
268,female,71.0,63.0,80.2,72.6,c
269,female,54.6,94.8,53.4,69.4,d
270,male,65.1,65.8,90.1,74.9,c
271,other,18.7,23.0,22.3,30.2,f
272,male,96.9,100.0,100.0,100.0,a
273,other,52.3,45.4,56.2,58.8,d
274,female,58.8,61.4,71.0,62.3,d
275,other,54.4,42.4,28.0,49.2,e
276,other,83.2,68.8,100.0,69.0,d
277,female,64.8,50.3,60.1,60.3,d
278,female,47.6,78.2,71.2,58.1,d
279,female,57.5,61.8,71.5,70.7,c
280,female,46.4,64.0,60.3,56.5,d
281,male,77.3,61.5,85.9,75.9,c
282,male,69.4,57.6,76.9,59.3,d
283,other,85.8,89.6,76.3,76.3,c
284,other,48.7,29.6,44.1,28.0,f
285,male,45.7,60.1,47.1,46.8,e
286,male,31.0,34.5,42.5,36.4,f
287,female,52.0,59.2,54.9,52.6,e
288,other,51.0,71.4,71.4,69.3,d
289,other,53.0,43.5,51.0,53.1,e
290,other,27.4,42.7,27.9,31.0,f
291,male,30.1,34.0,40.5,42.2,e
292,male,77.4,69.3,74.3,64.6,d
293,female,74.9,80.7,94.4,82.4,c
294,male,50.9,59.1,36.1,55.9,d
295,female,72.7,88.8,84.2,88.3,b
296,female,49.5,68.7,30.6,48.0,e
297,other,92.9,80.7,75.3,73.4,c
298,male,50.5,44.9,35.6,48.5,e
299,other,86.0,73.1,62.7,75.1,c
300,other,50.1,56.8,53.5,56.7,d
301,other,97.5,86.9,75.7,90.9,b
302,other,60.0,54.9,73.2,67.6,d
303,other,49.6,80.9,62.2,60.2,d
304,male,77.5,82.6,65.9,73.2,c
305,female,78.4,57.8,69.0,64.3,d
306,female,37.1,48.0,41.5,45.8,e
307,other,99.7,100.0,97.4,96.6,a
308,male,55.3,70.7,100.0,75.0,c
309,female,28.2,21.1,36.6,39.1,f
310,male,76.3,42.1,51.3,50.3,e
311,male,43.4,36.5,55.7,48.2,e
312,other,85.3,91.1,100.0,91.6,b
313,male,58.2,38.9,45.7,51.9,e
314,other,67.0,86.2,73.8,77.7,c
315,other,53.7,49.6,53.2,47.6,e
316,other,100.0,100.0,95.4,100.0,a
317,male,47.1,56.5,53.0,50.5,e
318,male,65.0,39.6,70.0,50.5,e
319,female,65.5,59.2,78.9,81.4,c
320,female,70.7,82.9,69.9,74.5,c
321,other,82.4,62.1,87.3,69.2,d
322,female,100.0,97.6,86.0,90.7,b
323,male,30.4,33.8,38.1,35.1,f
324,other,27.3,36.1,15.1,34.1,f
325,other,58.1,65.2,62.3,55.8,d
326,female,26.4,38.4,48.7,46.2,e
327,other,68.2,60.8,53.2,68.1,d
328,other,63.5,74.2,60.4,60.8,d
329,female,56.4,73.4,73.7,64.1,d
330,male,95.9,100.0,90.5,96.0,a
331,female,55.8,42.3,50.6,55.8,d
332,female,30.2,43.0,56.8,45.1,e
333,other,60.9,51.2,61.0,61.6,d
334,other,68.4,76.2,89.4,82.6,c
335,female,62.8,61.3,81.9,69.4,d
336,female,74.4,69.1,71.1,79.6,c
337,female,92.7,77.4,69.6,77.6,c
338,female,85.0,67.5,80.0,76.4,c
339,female,97.2,77.2,73.8,81.9,c
340,female,45.7,43.3,51.7,51.8,e
341,female,97.1,100.0,100.0,100.0,a
342,other,65.5,65.2,70.4,62.9,d
343,male,52.9,56.9,48.7,51.9,e
344,male,59.1,46.6,65.7,47.9,e
345,other,91.5,84.4,100.0,84.7,c
346,other,65.0,58.1,47.6,55.8,d
347,female,87.8,100.0,100.0,90.6,b
348,female,100.0,100.0,93.9,99.6,a
349,female,48.2,54.1,38.2,53.1,e
350,female,64.0,30.7,41.0,40.1,e
351,male,41.3,51.2,49.3,44.4,e
352,female,66.5,60.4,59.6,65.1,d
353,male,66.6,54.5,56.5,58.9,d
354,male,73.9,48.0,57.2,49.9,e
355,female,88.3,79.0,60.4,77.6,c
356,other,62.3,80.5,69.6,70.8,c
357,male,76.6,56.0,53.7,65.9,d
358,other,24.5,45.8,35.5,40.4,e
359,female,55.1,57.3,76.4,60.3,d
360,other,70.7,100.0,81.5,78.5,c
361,female,63.3,66.1,91.2,67.5,d
362,other,47.8,50.8,34.7,40.0,e
363,female,80.4,86.9,81.8,69.4,d
364,other,90.7,68.2,87.4,78.2,c
365,female,74.6,79.5,62.7,79.7,c
366,female,35.7,55.2,44.2,50.2,e
367,female,67.2,53.4,76.5,62.3,d
368,other,85.1,78.8,87.3,82.9,c
369,other,67.1,82.3,77.3,85.1,b
370,male,71.9,83.5,58.9,75.5,c
371,other,50.7,77.3,42.1,61.0,d
372,other,11.7,31.3,41.9,33.1,f
373,other,66.8,55.7,53.7,65.3,d
374,female,75.7,100.0,98.7,82.2,c
375,female,31.5,43.5,47.9,37.8,f
376,other,41.5,48.7,14.4,40.8,e
377,female,61.0,63.7,85.1,80.5,c
378,female,63.6,58.7,67.7,74.8,c
379,female,38.7,32.7,35.0,36.3,f
380,female,100.0,100.0,100.0,100.0,a
381,male,70.5,57.3,54.6,57.0,d
382,male,85.2,77.0,86.5,83.1,c
383,male,89.5,72.6,71.4,83.7,c
384,female,83.8,91.4,91.5,82.9,c
385,female,91.7,88.2,66.9,83.0,c
386,female,81.9,87.0,90.2,93.4,b
387,other,86.6,92.9,90.5,93.7,b
388,male,58.1,50.9,74.3,59.2,d
389,female,51.9,43.5,40.9,52.0,e
390,male,33.2,47.7,49.0,45.7,e
391,male,27.5,63.8,50.8,43.5,e
392,female,71.6,83.8,88.4,80.8,c
393,male,40.5,53.8,45.1,47.9,e
394,male,97.5,91.6,100.0,94.3,b
395,other,14.0,32.5,49.1,34.9,f
396,other,65.3,48.5,34.6,42.4,e
397,male,41.5,52.7,46.8,50.4,e
398,male,15.7,37.5,32.7,32.1,f
399,male,30.1,32.0,35.4,43.8,e
400,female,60.0,60.3,77.5,61.5,d
401,other,45.4,54.9,52.5,55.0,e
402,male,78.6,86.6,78.4,80.6,c
403,male,51.9,59.7,46.0,56.1,d
404,female,89.1,81.1,92.8,88.2,b
405,other,74.9,87.5,83.6,76.2,c
406,female,52.6,62.2,36.5,48.6,e
407,other,48.3,26.2,38.3,31.9,f
408,female,77.4,71.8,89.9,81.6,c
409,male,69.3,73.0,83.0,79.9,c
410,female,50.1,34.4,31.9,41.0,e
411,other,62.1,58.2,55.2,58.3,d
412,female,60.0,71.7,45.2,61.2,d
413,male,40.0,37.3,24.3,38.3,f
414,male,39.3,56.9,53.2,44.9,e
415,female,94.2,97.4,95.1,80.8,c
416,female,64.4,65.3,51.6,55.1,d
417,female,72.9,80.2,76.2,70.4,c
418,female,34.3,46.6,31.7,37.6,f
419,female,28.2,46.6,45.0,45.9,e
420,female,66.5,47.9,62.9,58.8,d
421,male,66.7,77.4,71.0,65.9,d
422,female,90.1,89.0,76.0,80.4,c
423,female,67.3,67.6,89.8,81.6,c
424,other,39.7,39.4,29.3,41.3,e
425,other,32.0,34.4,49.2,34.5,f
426,female,36.0,50.8,46.0,54.8,e
427,male,58.8,83.5,79.5,73.9,c
428,male,60.8,66.3,42.9,58.1,d
429,male,100.0,86.2,67.1,79.1,c
430,male,66.8,52.0,37.1,54.0,e
431,other,42.2,53.0,47.2,60.4,d
432,male,87.3,98.0,97.2,85.4,b
433,male,69.8,68.0,73.5,76.9,c
434,female,63.2,42.4,62.8,56.7,d
435,male,53.8,50.8,58.3,52.6,e
436,other,52.9,57.7,65.6,59.2,d
437,other,100.0,100.0,100.0,100.0,a
438,other,41.1,48.8,38.2,40.5,e
439,female,84.2,91.1,77.6,81.7,c
440,female,86.6,93.4,71.9,86.6,b
441,female,67.9,62.6,68.7,67.8,d
442,male,62.7,62.6,61.2,61.8,d
443,female,64.0,50.6,40.5,50.8,e
444,other,90.8,97.4,75.1,81.9,c
445,male,87.5,66.0,67.6,75.7,c
446,male,60.3,75.5,67.8,80.6,c
447,female,46.2,60.9,57.2,41.9,e
448,female,81.0,100.0,97.5,91.5,b
449,other,43.2,41.8,56.8,41.3,e
450,other,89.3,75.7,86.4,77.5,c
451,other,26.2,46.3,48.2,37.0,f
452,female,52.3,60.7,32.5,50.0,e
453,other,69.8,75.3,68.6,75.3,c
454,male,66.8,76.3,68.3,56.7,d
455,female,96.0,92.5,100.0,93.9,b
456,male,46.3,51.4,58.3,49.5,e
457,other,74.4,92.0,67.4,76.9,c
458,female,64.7,60.5,67.8,61.8,d
459,female,49.8,50.7,19.9,32.5,f
460,male,51.1,56.3,47.1,48.5,e
461,other,91.9,80.9,92.0,86.9,b
462,female,90.3,95.5,70.5,80.6,c
463,other,35.2,32.1,38.0,36.9,f
464,female,52.0,50.5,59.0,61.9,d
465,male,63.5,62.6,59.7,62.3,d
466,female,81.0,65.9,67.9,71.9,c
467,female,79.1,77.4,69.5,79.9,c
468,male,81.0,87.0,82.8,91.4,b
469,male,43.7,28.4,39.7,36.9,f
470,other,68.8,34.7,38.1,51.0,e
471,female,34.9,42.4,28.9,34.3,f
472,female,67.0,81.2,77.8,75.0,c
473,female,93.4,89.0,83.0,82.8,c
474,other,45.6,39.1,28.8,36.4,f
475,male,82.1,67.5,80.9,76.2,c
476,female,79.9,81.6,82.8,77.4,c
477,male,67.8,60.0,73.6,66.0,d
478,male,45.8,23.0,28.6,30.2,f
479,male,91.1,64.3,95.8,83.8,c
480,female,65.4,75.9,61.7,65.9,d
481,female,52.9,41.1,35.5,48.8,e
482,female,45.3,53.0,35.4,46.8,e
483,other,43.8,32.5,46.9,45.8,e
484,female,63.9,58.9,54.9,66.2,d
485,female,55.8,60.2,57.9,48.6,e
486,other,52.4,63.1,63.5,54.4,e
487,female,60.2,73.2,75.4,60.6,d
488,other,81.6,74.8,84.4,79.3,c
489,male,76.1,57.7,51.8,68.2,d
490,other,73.7,65.6,60.1,61.1,d
491,other,53.8,44.3,58.7,60.0,d
492,female,88.9,77.4,87.9,83.4,c
493,male,100.0,90.7,97.2,98.2,a
494,female,100.0,100.0,100.0,98.2,a
495,other,43.1,53.7,57.5,60.2,d
496,female,50.4,52.4,52.4,50.7,e
497,male,56.9,41.9,56.8,54.9,e
498,male,98.3,95.9,86.1,85.3,b
499,female,83.1,78.1,71.0,70.8,c
500,other,63.6,52.9,53.6,57.1,d
501,female,98.3,84.3,74.7,74.2,c
502,other,69.0,77.6,57.5,63.4,d
503,other,81.4,81.7,79.5,86.1,b
504,male,48.0,49.6,30.4,38.4,f
505,male,59.9,61.1,60.3,61.2,d
506,other,46.3,28.5,35.6,42.0,e
507,female,37.8,50.7,30.7,46.9,e
508,other,33.3,33.3,52.9,38.5,f
509,other,68.6,70.4,78.8,83.3,c
510,female,80.6,82.6,74.1,80.3,c
511,male,60.1,70.5,59.9,66.6,d
512,other,67.7,64.6,37.9,44.8,e
513,female,91.6,77.8,72.7,79.2,c
514,male,82.0,74.1,80.8,86.5,b
515,female,60.8,63.8,76.3,68.3,d
516,male,65.2,82.6,69.0,72.1,c
517,male,84.0,100.0,100.0,92.0,b
518,female,54.6,72.8,74.2,63.9,d
519,female,37.5,42.5,17.7,38.1,f
520,female,52.9,55.1,64.4,59.4,d
521,other,29.5,34.8,30.1,39.9,f
522,female,95.1,87.6,93.9,82.5,c
523,other,65.5,73.2,66.1,71.0,c
524,other,85.5,75.6,86.4,91.1,b
525,other,42.6,13.7,25.7,26.1,f
526,male,81.0,60.0,68.4,62.4,d
527,other,87.8,79.3,65.5,78.7,c
528,male,86.8,78.3,86.6,84.5,c
529,female,66.4,77.0,85.7,73.5,c
530,female,73.2,65.3,64.7,62.6,d
531,male,79.7,88.8,85.6,84.9,c
532,male,77.9,100.0,82.9,92.2,b
533,other,95.8,89.1,100.0,100.0,a
534,other,60.0,72.3,77.2,71.1,c
535,male,77.5,87.7,87.1,85.6,b
536,female,56.8,49.8,44.7,42.8,e
537,male,55.1,40.4,47.3,40.5,e
538,other,29.6,28.1,38.4,36.6,f
539,other,72.5,78.6,72.6,79.2,c
540,other,86.0,94.4,97.9,94.6,b
541,female,86.2,69.4,60.3,68.7,d
542,male,85.1,84.0,71.8,69.6,d
543,male,55.8,56.5,55.0,62.3,d
544,male,81.2,72.8,95.2,70.2,c
545,other,76.9,55.8,88.4,74.3,c
546,male,92.5,79.9,97.3,88.2,b
547,other,73.7,62.3,71.0,67.4,d
548,other,80.0,78.6,82.2,82.1,c
549,male,91.3,100.0,78.2,94.3,b
550,other,82.5,76.1,70.1,65.9,d
551,other,68.2,48.3,58.3,68.0,d
552,female,77.8,71.5,68.7,73.7,c
553,female,100.0,92.6,71.2,82.5,c
554,male,60.3,57.4,33.1,54.9,e
555,female,90.9,88.5,81.2,89.8,b
556,other,64.5,63.6,69.1,68.3,d
557,female,20.3,0.0,1.0,27.3,f
558,male,66.7,63.9,64.0,63.8,d
559,female,40.5,29.4,65.3,46.5,e
560,other,41.6,42.2,39.6,44.4,e
561,male,44.1,74.7,70.2,62.0,d
562,other,74.1,75.6,61.6,69.5,d
563,male,60.8,59.6,96.2,68.7,d
564,male,81.1,62.4,64.6,61.3,d
565,female,52.6,73.4,59.5,60.3,d
566,female,57.3,57.9,51.3,60.6,d
567,other,76.9,81.6,75.0,77.2,c
568,male,85.4,93.2,87.1,89.1,b
569,male,60.5,79.5,74.9,78.1,c
570,female,47.5,43.1,32.0,46.6,e
571,other,100.0,100.0,89.0,97.3,a
572,other,69.0,87.3,80.3,71.8,c
573,female,49.9,53.2,44.0,52.0,e
574,other,44.1,44.0,64.5,47.1,e
575,other,47.8,60.5,72.7,55.7,d
576,other,64.7,90.5,59.6,70.6,c
577,other,72.0,60.0,45.5,56.5,d
578,female,55.0,60.8,28.2,50.1,e
579,other,63.1,46.4,79.9,54.5,e
580,male,54.7,64.7,58.4,59.6,d
581,female,86.5,92.5,73.9,76.6,c
582,other,80.4,78.8,67.8,68.4,d
583,male,58.4,75.1,67.0,61.8,d
584,female,100.0,73.8,58.0,75.6,c
585,other,76.1,80.3,90.9,85.1,b
586,male,31.4,53.2,55.3,42.7,e
587,other,49.0,49.9,59.3,56.7,d
588,female,57.5,77.0,64.1,61.8,d
589,other,47.3,49.8,29.0,39.5,f
590,female,91.2,100.0,100.0,97.7,a
591,male,74.4,89.2,98.1,93.8,b
592,other,38.7,34.7,35.4,44.1,e
593,male,41.5,51.6,48.9,44.5,e
594,male,44.2,43.0,51.7,40.1,e
595,other,41.0,56.6,51.7,65.9,d
596,other,41.9,53.3,57.8,45.0,e
597,male,51.2,69.4,51.6,51.6,e
598,female,44.2,61.6,46.8,43.6,e
599,male,84.0,76.0,67.7,76.7,c
600,male,90.7,87.6,79.0,100.0,a
601,other,38.2,33.3,43.2,39.5,f
602,male,80.8,70.7,68.7,79.9,c
603,female,66.7,61.8,53.0,69.4,d
604,other,49.9,48.2,35.1,45.7,e
605,other,85.9,87.0,100.0,95.2,a
606,female,80.9,59.4,87.5,76.1,c
607,other,67.0,59.9,83.7,69.4,d
608,female,73.1,80.2,77.8,65.3,d
609,male,56.7,52.5,37.0,45.1,e
610,male,36.1,16.9,16.5,27.3,f
611,other,39.7,58.2,59.5,52.8,e
612,other,73.0,79.6,84.3,79.4,c
613,female,81.8,76.7,87.9,79.4,c
614,other,67.5,67.9,78.3,70.9,c
615,other,49.7,69.6,56.5,56.0,d
616,female,48.1,30.7,50.3,39.5,f
617,male,89.3,100.0,100.0,100.0,a
618,other,30.5,42.2,59.5,46.7,e
619,other,73.8,71.0,75.8,83.5,c
620,male,40.6,47.5,21.1,37.1,f
621,other,59.3,57.6,43.0,44.8,e
622,male,59.8,42.3,39.9,41.3,e
623,other,68.4,80.0,66.8,70.9,c
624,female,38.9,43.6,36.5,48.5,e
625,other,81.9,89.2,79.5,81.6,c
626,other,72.2,70.4,60.9,70.6,c
627,female,25.4,35.2,33.4,42.5,e
628,male,52.6,69.8,62.9,71.0,c
629,other,34.2,47.1,28.1,47.1,e
630,female,73.9,66.5,59.3,61.6,d
631,female,80.7,59.4,88.1,83.2,c
632,male,94.4,95.8,89.0,99.9,a
633,male,68.1,75.2,75.5,63.1,d
